epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.51002,0.83254,2.23778,1.31857,0.88949,0.35253,0.72877,0.55238,0.63179,2.57343,1.19414,0.0005,0.0005,0.0005
2,11.8997,0.7491,1.46551,1.18759,0.62332,0.5798,0.59662,0.34284,1.10506,2.50449,1.7491,0.000999804,0.000999804,0.000999804
3,16.0989,0.79935,1.30901,1.20456,0.74265,0.52555,0.62932,0.36046,1.25495,2.42481,1.92742,0.00147902,0.00147902,0.00147902
4,20.194,0.84774,1.23729,1.22519,0.32428,0.21168,0.17547,0.07076,1.82492,3.06011,3.00651,0.0018812,0.0018812,0.0018812
5,24.2534,0.81196,1.1308,1.20068,0.53472,0.52555,0.53636,0.34091,1.26048,3.85833,1.82276,0.0018416,0.0018416,0.0018416
6,28.3988,0.8086,1.07505,1.20133,0.507,0.62044,0.53991,0.34147,1.20055,1.76015,1.66822,0.001802,0.001802,0.001802
7,32.4383,0.7998,0.99774,1.19247,0.55873,0.52555,0.53885,0.33823,1.1516,1.79414,1.53165,0.0017624,0.0017624,0.0017624
8,36.5137,0.7497,0.92774,1.15271,0.67021,0.62774,0.68635,0.49519,0.99716,1.36953,1.46219,0.0017228,0.0017228,0.0017228
9,40.5834,0.72811,0.84597,1.14886,0.73387,0.78832,0.80379,0.60035,0.82074,1.5215,1.30159,0.0016832,0.0016832,0.0016832
10,44.7402,0.72359,0.86939,1.15419,0.77036,0.64234,0.75672,0.58898,0.8802,1.12939,1.34572,0.0016436,0.0016436,0.0016436
11,48.7813,0.7182,0.82236,1.15629,0.79964,0.80292,0.85527,0.67125,0.77676,0.98626,1.25367,0.001604,0.001604,0.001604
12,52.9052,0.70727,0.79991,1.12306,0.77424,0.71533,0.767,0.58709,0.84004,1.12946,1.3277,0.0015644,0.0015644,0.0015644
13,56.9403,0.67842,0.73707,1.12964,0.81526,0.90195,0.90613,0.736,0.69261,0.73228,1.18483,0.0015248,0.0015248,0.0015248
14,61.0648,0.66947,0.71331,1.10091,0.87465,0.83942,0.91562,0.73786,0.67458,0.73269,1.19943,0.0014852,0.0014852,0.0014852
15,65.1876,0.66793,0.67406,1.11999,0.79892,0.85401,0.88207,0.675,0.80663,0.90477,1.28012,0.0014456,0.0014456,0.0014456
16,69.1806,0.66658,0.67655,1.1003,0.85388,0.85312,0.88997,0.71881,0.6887,0.76979,1.15527,0.001406,0.001406,0.001406
17,73.1529,0.64388,0.67637,1.08146,0.8921,0.91241,0.94616,0.75568,0.71505,0.65,1.19328,0.0013664,0.0013664,0.0013664
18,77.3686,0.62835,0.60383,1.08787,0.86303,0.87383,0.91918,0.75324,0.64327,0.66454,1.14995,0.0013268,0.0013268,0.0013268
19,81.4427,0.61474,0.59464,1.09703,0.88869,0.85401,0.92579,0.7518,0.65743,0.74633,1.14823,0.0012872,0.0012872,0.0012872
20,85.4866,0.62031,0.58824,1.09466,0.85874,0.78102,0.91495,0.73159,0.71137,0.7893,1.21657,0.0012476,0.0012476,0.0012476
21,89.5025,0.5899,0.60148,1.06472,0.88591,0.79351,0.90286,0.78232,0.54361,0.64496,1.07381,0.001208,0.001208,0.001208
22,93.5895,0.55015,0.5396,1.0596,0.89048,0.91241,0.93906,0.80597,0.56723,0.60625,1.08337,0.0011684,0.0011684,0.0011684
23,97.6455,0.55369,0.54813,1.06476,0.89063,0.89161,0.94891,0.82355,0.53804,0.55169,1.08277,0.0011288,0.0011288,0.0011288
24,101.758,0.54907,0.53312,1.05134,0.90154,0.89781,0.94023,0.8253,0.52251,0.55598,1.03843,0.0010892,0.0010892,0.0010892
25,105.825,0.54016,0.52398,1.04465,0.90343,0.95601,0.9686,0.8461,0.53072,0.49912,1.03534,0.0010496,0.0010496,0.0010496
26,110.275,0.52423,0.48934,1.02887,0.93104,0.92701,0.96442,0.8237,0.53653,0.52033,1.07322,0.00101,0.00101,0.00101
27,114.272,0.53437,0.50234,1.03866,0.93824,0.88717,0.95883,0.84593,0.51302,0.55766,1.05812,0.0009704,0.0009704,0.0009704
28,118.303,0.55122,0.51369,1.04326,0.94469,0.87264,0.95422,0.82882,0.55263,0.53977,1.05185,0.0009308,0.0009308,0.0009308
29,122.352,0.52803,0.49359,1.02544,0.92814,0.92701,0.95279,0.8188,0.55054,0.52698,1.0499,0.0008912,0.0008912,0.0008912
30,126.373,0.51129,0.49094,1.03416,0.87075,0.88513,0.92303,0.74791,0.61531,0.61021,1.16171,0.0008516,0.0008516,0.0008516
31,130.394,0.51015,0.45847,1.03055,0.90253,0.87863,0.92552,0.80312,0.54186,0.57426,1.07381,0.000812,0.000812,0.000812
32,134.43,0.53397,0.46929,1.04507,0.94305,0.84672,0.93395,0.79115,0.55616,0.58178,1.08475,0.0007724,0.0007724,0.0007724
33,138.478,0.49244,0.4623,1.02008,0.8919,0.91971,0.93592,0.81775,0.48557,0.52822,1.02953,0.0007328,0.0007328,0.0007328
34,142.506,0.49993,0.46111,1.03039,0.90878,0.91971,0.95207,0.85799,0.45587,0.48899,0.97977,0.0006932,0.0006932,0.0006932
35,146.552,0.47349,0.44509,1.01365,0.93548,0.91241,0.95709,0.86715,0.43326,0.43476,0.96629,0.0006536,0.0006536,0.0006536
36,150.663,0.47546,0.42689,1.03544,0.9108,0.9635,0.97834,0.87486,0.45128,0.4,0.98973,0.000614,0.000614,0.000614
